Month,Concern,Total_Mentions,Negative_Mentions,Negative_Percentage,Change_Percent
2008-04,Customer Service,1,0,0.0,
2009-10,Customer Service,1,0,0.0,0.0
2010-06,Customer Service,1,0,0.0,0.0
2010-10,Customer Service,1,0,0.0,0.0
2010-11,Customer Service,1,0,0.0,0.0
2011-02,Customer Service,1,0,0.0,0.0
2011-04,Customer Service,1,0,0.0,0.0
2011-08,Customer Service,2,0,0.0,100.0
2011-09,Customer Service,5,0,0.0,150.0
2011-10,Customer Service,8,0,0.0,60.0
2011-11,Customer Service,6,0,0.0,-25.0
2011-12,Customer Service,7,1,14.29,16.67
2012-01,Customer Service,21,0,0.0,200.0
2012-02,Customer Service,16,0,0.0,-23.81
2012-03,Customer Service,7,1,14.29,-56.25
2012-04,Customer Service,11,0,0.0,57.14
2012-05,Customer Service,9,3,33.33,-18.18
2012-06,Customer Service,11,2,18.18,22.22
2012-07,Customer Service,21,0,0.0,90.91
2012-08,Customer Service,1,0,0.0,-95.24
2012-10,Customer Service,1,0,0.0,0.0
2012-11,Customer Service,1,0,0.0,0.0
2012-12,Customer Service,2,1,50.0,100.0
2013-01,Customer Service,2,0,0.0,0.0
2013-06,Customer Service,3,0,0.0,50.0
2013-07,Customer Service,1,0,0.0,-66.67
2013-08,Customer Service,1,0,0.0,0.0
2013-10,Customer Service,1,0,0.0,0.0
2013-11,Customer Service,3,0,0.0,200.0
2014-01,Customer Service,4,1,25.0,33.33
2014-02,Customer Service,5,1,20.0,25.0
2014-03,Customer Service,4,0,0.0,-20.0
2014-06,Customer Service,4,1,25.0,0.0
2014-07,Customer Service,1,0,0.0,-75.0
2014-08,Customer Service,2,1,50.0,100.0
2014-09,Customer Service,1,0,0.0,-50.0
2014-10,Customer Service,4,0,0.0,300.0
2014-11,Customer Service,4,0,0.0,0.0
2014-12,Customer Service,3,0,0.0,-25.0
2015-01,Customer Service,2,0,0.0,-33.33
2015-02,Customer Service,2,0,0.0,0.0
2015-03,Customer Service,5,1,20.0,150.0
2015-04,Customer Service,3,1,33.33,-40.0
2015-05,Customer Service,1,0,0.0,-66.67
2015-06,Customer Service,4,0,0.0,300.0
2015-07,Customer Service,2,1,50.0,-50.0
2015-08,Customer Service,2,1,50.0,0.0
2015-09,Customer Service,1,0,0.0,-50.0
2015-10,Customer Service,2,2,100.0,100.0
2015-11,Customer Service,3,2,66.67,50.0
2015-12,Customer Service,8,3,37.5,166.67
2016-01,Customer Service,3,1,33.33,-62.5
2016-02,Customer Service,2,0,0.0,-33.33
2016-03,Customer Service,4,2,50.0,100.0
2016-04,Customer Service,5,2,40.0,25.0
2016-05,Customer Service,6,2,33.33,20.0
2016-06,Customer Service,1,0,0.0,-83.33
2016-07,Customer Service,5,4,80.0,400.0
2016-08,Customer Service,5,1,20.0,0.0
2016-09,Customer Service,4,1,25.0,-20.0
2016-10,Customer Service,12,4,33.33,200.0
2016-11,Customer Service,11,1,9.09,-8.33
2016-12,Customer Service,7,3,42.86,-36.36
2017-01,Customer Service,9,0,0.0,28.57
2017-02,Customer Service,5,1,20.0,-44.44
2017-03,Customer Service,7,1,14.29,40.0
2017-04,Customer Service,8,1,12.5,14.29
2017-05,Customer Service,16,2,12.5,100.0
2017-06,Customer Service,9,3,33.33,-43.75
2017-07,Customer Service,7,3,42.86,-22.22
2017-08,Customer Service,22,3,13.64,214.29
2017-09,Customer Service,7,3,42.86,-68.18
2017-10,Customer Service,12,4,33.33,71.43
2017-11,Customer Service,19,12,63.16,58.33
2017-12,Customer Service,16,6,37.5,-15.79
2018-01,Customer Service,17,7,41.18,6.25
2018-02,Customer Service,7,5,71.43,-58.82
2018-03,Customer Service,14,4,28.57,100.0
